;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
37;ANN;historical;1951-2000;KNMI;ICHEC-EC-EARTH;RACMO22E;r3i1p1;v1;0.9857990767201841;884.4248768994509;0.0;0.0;False
38;ANN;historical;1951-2000;KNMI;IPSL-IPSL-CM5A-MR;RACMO22E;r1i1p1;v1;-0.3744449329522581;835.2016912486218;0.0;0.0;False
39;ANN;historical;1951-2000;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;1.6801000219828666;925.7827542619041;0.0;0.0;False
40;ANN;historical;1951-2000;KNMI;MPI-M-MPI-ESM-LR;RACMO22E;r1i1p1;v1;1.7520938667839232;952.6181381439004;0.0;0.0;False
41;ANN;historical;1951-2000;KNMI;NCC-NorESM1-M;RACMO22E;r1i1p1;v1;1.023554627390638;928.927161581413;0.0;0.0;False
42;ANN;historical;1951-2000;MOHC;ICHEC-EC-EARTH;HadREM3-GA7-05;r12i1p1;v1;1.9985766102440152;1051.2682581084146;0.0;0.0;False
43;ANN;historical;1951-2000;MOHC;MOHC-HadGEM2-ES;HadREM3-GA7-05;r1i1p1;v1;2.471949879094325;1074.3742454861724;0.0;0.0;False
44;ANN;historical;1951-2000;MOHC;MPI-M-MPI-ESM-LR;HadREM3-GA7-05;r1i1p1;v1;2.4125961749835483;1137.372174260904;0.0;0.0;False
45;ANN;historical;1951-2000;MOHC;NCC-NorESM1-M;HadREM3-GA7-05;r1i1p1;v1;2.0294075621015963;1130.5068470431202;0.0;0.0;False
46;ANN;historical;1951-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.7345625412178833;1002.007186163858;0.0;0.0;True
47;ANN;historical;1951-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.8147724774676135;1030.7098009424383;0.0;0.0;False
48;ANN;historical;1951-2000;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;0.19980215431962733;793.6375325788481;0.0;0.0;False
49;ANN;historical;1951-2000;SMHI;CNRM-CERFACS-CNRM-CM5;RCA4;r1i1p1;v1;0.660452846779549;932.813271922734;0.0;0.0;True
50;ANN;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;0.7285996922400955;1016.9723238728025;0.0;0.0;True
51;ANN;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r1i1p1;v1;1.0119586722356644;1015.0861756726656;0.0;0.0;False
52;ANN;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r3i1p1;v1;0.928918443614009;993.1071633950882;0.0;0.0;False
53;ANN;historical;1951-2000;SMHI;IPSL-IPSL-CM5A-MR;RCA4;r1i1p1;v1;-0.2368597493954212;921.2010453653535;0.0;0.0;True
54;ANN;historical;1951-2000;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;2.034381182677521;1058.5517300959864;0.0;0.0;True
55;ANN;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;2.36242031215653;1077.324517854467;0.0;0.0;True
56;ANN;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r2i1p1;v1;2.018333699714219;1091.5266576534473;0.0;0.0;False
57;ANN;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r3i1p1;v1;2.1169817542317446;1089.4216682969097;0.0;0.0;False
58;ANN;historical;1951-2000;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;0.9657946801494859;1039.8781806512254;0.0;0.0;False
59;ANN;rcp26;2031-2060;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;3.471537700593558;903.7054340297979;1.8426302484062376;4.340220712169247;True
60;ANN;rcp26;2031-2060;CLMcom;MIROC-MIROC5;CCLM4-8-17;r1i1p1;v1;3.420729830732057;859.2838321643547;;;False
61;ANN;rcp26;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;2.2302311033331534;892.0040997365564;1.582995447144981;9.412471411295375;False
