;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS endring;PR endring;Referansemodell
32;ANN;historical;1971-2000;GERICS;IPSL-IPSL-CM5A-LR;REMO2015;r1i1p1;v1;-3.935693540892146;1001.018064759921;0.0;0.0;False
33;ANN;historical;1971-2000;GERICS;IPSL-IPSL-CM5A-MR;REMO2015;r1i1p1;v1;-0.45088289962825456;1137.3495299964588;0.0;0.0;False
34;ANN;historical;1971-2000;GERICS;MIROC-MIROC5;REMO2015;r1i1p1;v1;0.41467820631970653;1116.2732941233537;0.0;0.0;False
35;ANN;historical;1971-2000;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;1.9856877323420576;1290.5248086304027;0.0;0.0;False
36;ANN;historical;1971-2000;GERICS;MPI-M-MPI-ESM-LR;REMO2015;r3i1p1;v1;1.2377497676579878;1203.5298327724952;0.0;0.0;False
37;ANN;historical;1971-2000;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;1.3135513475836547;1339.8334373107186;0.0;0.0;False
38;ANN;historical;1971-2000;GERICS;NOAA-GFDL-GFDL-ESM2G;REMO2015;r1i1p1;v1;-1.7130518122676222;1235.039408504963;0.0;0.0;False
39;ANN;historical;1971-2000;ICTP;CNRM-CERFACS-CNRM-CM5;RegCM4-6;r1i1p1;v2;6.157591775092953;866.2740037814614;0.0;0.0;False
40;ANN;historical;1971-2000;ICTP;ICHEC-EC-EARTH;RegCM4-6;r12i1p1;v1;5.775476301115248;849.0968453230468;0.0;0.0;False
41;ANN;historical;1971-2000;ICTP;MOHC-HadGEM2-ES;RegCM4-6;r1i1p1;v1;6.915433317843906;848.6567009184994;0.0;0.0;False
42;ANN;historical;1971-2000;ICTP;MPI-M-MPI-ESM-LR;RegCM4-6;r1i1p1;v1;6.963324814126395;943.8688892857293;0.0;0.0;False
43;ANN;historical;1971-2000;ICTP;NCC-NorESM1-M;RegCM4-6;r1i1p1;v1;6.5844911710037195;980.9699432834375;0.0;0.0;False
44;ANN;historical;1971-2000;IPSL;CNRM-CERFACS-CNRM-CM5;WRF381P;r1i1p1;v2;0.3544435408921913;886.1280836885081;0.0;0.0;False
45;ANN;historical;1971-2000;IPSL;ICHEC-EC-EARTH;WRF381P;r12i1p1;v1;0.6158282992565205;1040.2072507818834;0.0;0.0;False
46;ANN;historical;1971-2000;IPSL;IPSL-IPSL-CM5A-MR;WRF381P;r1i1p1;v1;-2.052213057620804;894.9887690712528;0.0;0.0;False
47;ANN;historical;1971-2000;IPSL;MOHC-HadGEM2-ES;WRF381P;r1i1p1;v1;0.45440868959110503;992.7053064440262;0.0;0.0;False
48;ANN;historical;1971-2000;IPSL;MPI-M-MPI-ESM-LR;WRF381P;r1i1p1;v1;1.8619075278810442;1104.231900311868;0.0;0.0;False
49;ANN;historical;1971-2000;IPSL;NCC-NorESM1-M;WRF381P;r1i1p1;v1;0.5076730947955639;1099.9316288414498;0.0;0.0;False
50;ANN;historical;1971-2000;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;-1.7932098048327134;1005.406944176743;0.0;0.0;False
51;ANN;historical;1971-2000;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;-1.61706552044609;1129.0645231212382;0.0;0.0;False
52;ANN;historical;1971-2000;KNMI;ICHEC-EC-EARTH;RACMO22E;r1i1p1;v1;-1.294052044609657;1154.6303739556593;0.0;0.0;True
