,Season,Experiment,Period,Institute,Model,Model Id,Ensemble,RCM Ver,TAS celsius,PR mm.30.days,TAS,PR,TAS variance,PR variance,Original Model
,annual,historical,1951-2000,CLMcom-ETH,ICHEC-EC-EARTH,COSMO-crCLIM-v1-1,r12i1p1,v1,1.7398109474610237,73.47280236489695,274.889810947461,2.8345988566704073e-05,53.291272807210376,2.7592965622255846e-09,False
,annual,historical,1951-2000,CLMcom-ETH,MOHC-HadGEM2-ES,COSMO-crCLIM-v1-1,r1i1p1,v1,2.731402506045299,75.08607024961997,275.8814025060453,2.8968391300007703e-05,54.01075785887008,2.915283000861555e-09,False
,annual,historical,1951-2000,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r1i1p1,v1,2.8759947241152304,81.19994170012174,276.0259947241152,3.1327138001590177e-05,53.658905116509125,3.2657897431261317e-09,False
,annual,historical,1951-2000,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r2i1p1,v1,2.9612057595076067,83.58980372964118,276.1112057595076,3.2249152673472676e-05,51.76946856451968,3.3819043658914116e-09,False
,annual,historical,1951-2000,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r3i1p1,v1,2.877698395251741,80.60912222200815,276.0276983952517,3.109919838812043e-05,52.69999587821499,3.2289816988118207e-09,False
,annual,historical,1951-2000,CLMcom-ETH,NCC-NorESM1-M,COSMO-crCLIM-v1-1,r1i1p1,v1,2.140915585843061,79.21049709659692,275.29091558584304,3.055960536134141e-05,48.76527808309518,3.118597752379123e-09,False
,annual,historical,1951-2000,CLMcom,CNRM-CERFACS-CNRM-CM5,CCLM4-8-17,r1i1p1,v1,1.4573038030336534,61.02631998261296,274.60730380303363,2.3544104931563642e-05,72.55193449109694,1.928277117960568e-09,True
,annual,historical,1951-2000,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,1.6289074521873204,71.1387406603062,274.7789074521873,2.744550179795764e-05,56.957119696636624,2.3098768229720382e-09,True
,annual,historical,1951-2000,CLMcom,MOHC-HadGEM2-ES,CCLM4-8-17,r1i1p1,v1,2.4527698395252173,70.04355739619501,275.6027698395252,2.7022977390507338e-05,58.93804957133436,2.3531958816758716e-09,False
,annual,historical,1951-2000,CLMcom,MPI-M-MPI-ESM-LR,CCLM4-8-17,r1i1p1,v1,2.386381622334625,76.01681151843957,275.5363816223346,2.9327473579644896e-05,56.87104995603429,2.6346855915054697e-09,True
,annual,historical,1951-2000,DMI,CNRM-CERFACS-CNRM-CM5,HIRHAM5,r1i1p1,v2,1.6156353044625575,85.07219726736925,274.76563530446253,3.2821063760559125e-05,76.1158565069246,4.027678393143616e-09,False
,annual,historical,1951-2000,DMI,ICHEC-EC-EARTH,HIRHAM5,r12i1p1,v1,1.7275829852715106,89.24315268717172,274.8775829852715,3.443022866017427e-05,56.179737304902176,4.314752828298477e-09,False
,annual,historical,1951-2000,DMI,ICHEC-EC-EARTH,HIRHAM5,r1i1p1,v1,1.7536326665201614,90.97061935008868,274.90363266652014,3.5096689564077426e-05,56.79054462519235,4.486987412773903e-09,False
,annual,historical,1951-2000,DMI,ICHEC-EC-EARTH,HIRHAM5,r3i1p1,v2,1.8891020004396637,88.93027350676665,275.03910200043964,3.4309519099832814e-05,54.981472576390416,4.3107605684160856e-09,True
,annual,historical,1951-2000,DMI,MOHC-HadGEM2-ES,HIRHAM5,r1i1p1,v2,2.9037755550670568,93.44540451563016,276.05377555506703,3.605146779152398e-05,55.1609076170587,4.695869295522701e-09,False
,annual,historical,1951-2000,DMI,MPI-M-MPI-ESM-LR,HIRHAM5,r1i1p1,v1,2.8140855132996307,95.65833909979598,275.9640855132996,3.6905223418131163e-05,56.892472933611785,4.704607962136263e-09,False
,annual,historical,1951-2000,DMI,NCC-NorESM1-M,HIRHAM5,r1i1p1,v3,2.3026819081117083,96.4226727958406,275.4526819081117,3.720010524530887e-05,44.69223661793801,4.822178096316999e-09,False
,annual,historical,1951-2000,GERICS,CNRM-CERFACS-CNRM-CM5,REMO2015,r1i1p1,v2,1.975934271268443,78.59200670263694,275.1259342712684,3.0320990240214867e-05,81.35324384480106,3.3368230987238665e-09,False
,annual,historical,1951-2000,GERICS,IPSL-IPSL-CM5A-LR,REMO2015,r1i1p1,v1,-2.562425807869829,71.11336221063915,270.58757419213015,2.7435710729413254e-05,110.70782040008793,2.881949790118757e-09,False
,annual,historical,1951-2000,GERICS,IPSL-IPSL-CM5A-MR,REMO2015,r1i1p1,v1,0.8497801714663069,77.47698511545882,273.9997801714663,2.989081215874183e-05,80.47489832930314,3.3511478901928984e-09,False
,annual,historical,1951-2000,GERICS,MPI-M-MPI-ESM-LR,REMO2015,r3i1p1,v1,2.3804737304902233,82.6340151451582,275.5304737304902,3.1880407077607334e-05,64.05323972301605,3.711566105384644e-09,False
,annual,historical,1951-2000,GERICS,NCC-NorESM1-M,REMO2015,r1i1p1,v1,2.548505165970539,88.69855611972638,275.6985051659705,3.422012195977098e-05,52.32418526049681,4.155764997166791e-09,False
,annual,historical,1951-2000,GERICS,NOAA-GFDL-GFDL-ESM2G,REMO2015,r1i1p1,v1,-0.838805231919082,82.1320329768025,272.3111947680809,3.168674111759356e-05,91.48438530446252,3.476752527360103e-09,False
,annual,historical,1951-2000,IPSL,CNRM-CERFACS-CNRM-CM5,WRF381P,r1i1p1,v2,2.2398109474610237,64.26807942561302,275.389810947461,2.479478372901737e-05,78.43556276104638,1.9220052233035847e-09,False
,annual,historical,1951-2000,IPSL,ICHEC-EC-EARTH,WRF381P,r12i1p1,v1,2.4024291052978697,71.4000308610602,275.55242910529785,2.7546308202569525e-05,54.74998969553748,2.244062715382609e-09,False
,annual,historical,1951-2000,IPSL,IPSL-IPSL-CM5A-MR,WRF381P,r1i1p1,v1,-0.2387557704989831,63.70406906587471,272.911244229501,2.4577187139612158e-05,95.67615822158716,2.0619642420070583e-09,False
,annual,historical,1951-2000,IPSL,MOHC-HadGEM2-ES,WRF381P,r1i1p1,v1,2.442300505605658,70.85152436518675,275.59230050560564,2.7334693042124516e-05,62.993748626071664,2.2492437762095477e-09,False
