;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
123;ANN;rcp85;2071-2100;SMHI;MPI-M-MPI-ESM-LR;RCA4;r3i1p1;v1;4.4919900092937155;1620.9428574515985;4.561977230483308;22.548957736873703;False
124;ANN;rcp85;2071-2100;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;3.144783921933083;1511.5873221571119;4.42797397769516;18.577079028490665;False
125;MAM;historical;1951-2000;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r12i1p1;v1;-1.981377788104055;933.9478585024306;0.0;0.0;False
126;MAM;historical;1951-2000;CLMcom-ETH;MOHC-HadGEM2-ES;COSMO-crCLIM-v1-1;r1i1p1;v1;-0.6629240241635443;977.7995050728987;0.0;0.0;False
127;MAM;historical;1951-2000;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;-2.125255576208133;908.0270295941918;0.0;0.0;True
128;MAM;historical;1951-2000;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-4.62621398698883;741.6316857236026;0.0;0.0;False
129;MAM;historical;1951-2000;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;-2.4387720724906785;1015.5864785373432;0.0;0.0;False
130;MAM;historical;1951-2000;DMI;CNRM-CERFACS-CNRM-CM5;HIRHAM5;r1i1p1;v2;-2.362505808550168;1082.528197809666;0.0;0.0;False
131;MAM;historical;1951-2000;DMI;ICHEC-EC-EARTH;HIRHAM5;r12i1p1;v1;-1.7848745353159643;1126.5885264733909;0.0;0.0;False
132;MAM;historical;1951-2000;DMI;ICHEC-EC-EARTH;HIRHAM5;r1i1p1;v1;-1.711802973977683;1096.5492308084406;0.0;0.0;False
133;MAM;historical;1951-2000;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;-1.6430006970260251;1128.7687626885436;0.0;0.0;True
134;MAM;historical;1951-2000;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;-0.15287523234201217;1228.0673506950136;0.0;0.0;False
135;MAM;historical;1951-2000;GERICS;CNRM-CERFACS-CNRM-CM5;REMO2015;r1i1p1;v2;-1.7400325278809987;969.924651379922;0.0;0.0;False
136;MAM;historical;1951-2000;GERICS;IPSL-IPSL-CM5A-MR;REMO2015;r1i1p1;v1;-2.856668215613354;917.1715663268221;0.0;0.0;False
137;MAM;historical;1951-2000;GERICS;MPI-M-MPI-ESM-LR;REMO2015;r3i1p1;v1;-0.26953996282526305;956.540808940244;0.0;0.0;False
138;MAM;historical;1951-2000;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;0.32545887546473296;1078.2906402248652;0.0;0.0;False
139;MAM;historical;1951-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;0.40907295539034294;1009.1758957416594;0.0;0.0;True
140;MAM;historical;1951-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;0.4247560408921913;1034.1915250987813;0.0;0.0;False
141;MAM;historical;1951-2000;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-7.6467472118958995;606.335327372675;0.0;0.0;False
