;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
20;ANN;historical;1985-2014;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;0.6264869888476028;1414.4121563927613;0.3518819702601945;1.8546035622512722;True
21;ANN;historical;1985-2014;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;1.6197200278810442;1380.3169985990764;0.5374361059479611;-3.870481696231075;False
22;ANN;historical;1985-2014;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;1.6081900557621225;1251.7867474058526;0.6992332713754763;-2.0408273193994373;False
23;ANN;historical;1985-2014;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;2.458561802973975;1276.3511427079213;0.4728740706319172;-1.0982869781111366;False
24;ANN;historical;1985-2014;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.3027764869888756;1344.8311003001206;0.9892251394052209;0.37300628945588005;False
25;ANN;historical;1985-2014;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;-0.384491171003674;1062.215017297454;1.4087186338290394;5.650256689566355;False
26;ANN;historical;1985-2014;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;-0.7858039033457089;1115.9176605036932;0.831261617100381;-1.164403127396209;False
27;ANN;historical;1985-2014;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;-0.03101184944233637;1113.0449493633769;0.5746689126394244;-2.737874626101897;False
28;ANN;historical;1985-2014;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.7164033457249275;1278.314830279705;0.8066914498141387;2.7818016888186268;True
29;ANN;historical;1985-2014;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.5641612453532048;1265.728350100021;0.7631854089219701;-1.956917185580204;False
30;ANN;historical;1985-2014;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.0395794609665359;1266.849333491024;0.37168912639401697;-0.37039325165441184;True
31;ANN;historical;1985-2014;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;0.5611988847583689;1350.9181712224358;0.5685118494423591;2.1127128707572784;True
32;ANN;historical;1985-2014;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;0.25299721189594493;1331.9632816962815;-0.08300418215611671;0.5345942939278987;True
33;ANN;historical;1985-2014;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;0.11428903345728259;1301.9540318824545;1.2925185873606324;1.669440108334876;False
34;ANN;historical;1991-2020;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;0.23597815985129955;1116.2677219836905;0.5358968401486663;-1.169128529556878;True
35;ANN;historical;1991-2020;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;0.7833468866170961;1165.0498380946847;-0.23452021375464938;-0.07183961903447778;True
36;ANN;historical;1991-2020;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;3.3935641263940965;1016.1966824592488;1.0229437732342035;5.349025838877475;False
37;ANN;historical;1991-2020;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;0.5786245353160098;1417.8301724165567;0.3040195167286015;2.100741624272017;True
38;ANN;historical;1991-2020;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;2.1440288104089404;1440.9026546382993;1.0617448884758574;0.3488896054911671;False
39;ANN;historical;1991-2020;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;1.7851184944238412;1276.3418558084832;0.876161710037195;-0.11925552676861899;False
40;ANN;historical;1991-2020;GERICS;MOHC-HadGEM2-ES;REMO2015;r1i1p1;v1;3.083097118959131;1327.7438608797952;1.0974093866170733;2.884024545711145;False
41;ANN;historical;1991-2020;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.3113150557621225;1359.5472304074294;0.9977637081784678;1.4713614802956327;False
42;ANN;historical;1991-2020;KNMI;CNRM-CERFACS-CNRM-CM5;RACMO22E;r1i1p1;v2;-0.5178264405204231;1040.9640784572714;1.2753833643122903;3.5365912764451495;False
43;ANN;historical;1991-2020;KNMI;ICHEC-EC-EARTH;RACMO22E;r12i1p1;v1;-0.6253136617100381;1138.5859987134163;0.9917518587360519;0.8433065956103644;False
44;ANN;historical;1991-2020;KNMI;MOHC-HadGEM2-ES;RACMO22E;r1i1p1;v2;0.5583817379182392;1165.1226036832236;1.1640625;1.8128700195052354;False
45;ANN;historical;1991-2020;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.626109433085503;1254.3096155814521;0.7163975371747142;0.8516830997434669;True
46;ANN;historical;1991-2020;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.5841136152416766;1280.2321926119382;0.7831377788104419;-0.833452239558553;False
47;ANN;historical;1991-2020;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-0.7882434944237957;1272.5484305321063;0.6230250929367571;0.07780432165844259;True
